TABLE NO.     4: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
       -10000  1.63418E+00  1.55375E+00  7.44812E-01  2.34531E+00  5.56209E-02  1.64318E-01 -3.98032E-03  1.37554E-01  1.48939E-02 -3.92843E-03  2.04775E-01 -1.67113E-02  1.22001E-02  3.96984E-02  1.59413E-01   -2343.67061221172
        -9999  1.59607E+00  1.54185E+00  7.11030E-01  2.32269E+00  6.03353E-02  1.61620E-01 -3.19305E-03  1.48140E-01  2.74536E-02 -4.17362E-03  2.05777E-01 -1.78940E-02 -1.91295E-02  1.59122E-02  1.34206E-01   -2291.63913412381
        -9998  1.57036E+00  1.53161E+00  7.82848E-01  2.37163E+00  6.28022E-02  1.53014E-01 -9.40261E-03  1.38052E-01  1.54313E-02 -9.31697E-03  1.59245E-01 -4.50044E-02 -1.13956E-02  1.53298E-02  2.03111E-01   -2265.65144248820
        -9997  1.58357E+00  1.59665E+00  7.08846E-01  2.37245E+00  6.19358E-02  1.13864E-01 -1.94623E-02  1.78021E-01 -3.44052E-03 -3.30086E-02  1.62574E-01 -3.04624E-02  2.14272E-03  3.78403E-02  1.70882E-01   -2314.02248089022
        -9996  1.58731E+00  1.55757E+00  6.78943E-01  2.29044E+00  6.44828E-02  1.40189E-01  2.26502E-03  1.93009E-01 -3.85853E-02 -1.08609E-02  1.36721E-01 -3.66908E-02 -1.14839E-02  5.41723E-02  1.83190E-01   -2305.64738524014
        -9995  1.57037E+00  1.56171E+00  7.01763E-01  2.23862E+00  5.54448E-02  2.07703E-01  3.31667E-02  1.57764E-01 -2.34105E-02 -3.56578E-03  1.27702E-01 -4.18528E-02 -1.45765E-03  1.82275E-02  1.72187E-01   -2358.02880840899
        -9994  1.54696E+00  1.64497E+00  7.44077E-01  2.31221E+00  5.16200E-02  1.93429E-01  6.66600E-02  1.66001E-01 -4.75864E-02 -2.69576E-02  1.33499E-01 -4.73897E-02 -2.60381E-02  4.69417E-02  1.43272E-01   -2378.41627485878
        -9993  1.65938E+00  1.55371E+00  7.16107E-01  2.29101E+00  5.41332E-02  1.69336E-01  1.51314E-02  1.40932E-01 -2.37571E-03  8.90281E-03  1.41280E-01  1.30895E-03 -1.33013E-02 -2.45523E-02  1.56051E-01   -2348.91565562898
        -9992  1.62410E+00  1.54420E+00  7.00074E-01  2.31486E+00  4.96822E-02  1.84303E-01 -1.03870E-02  1.62261E-01 -1.79745E-02 -2.92288E-02  1.12020E-01 -4.58424E-02 -2.12279E-02  6.74681E-03  1.52823E-01   -2354.57092374153
        -9991  1.59792E+00  1.57345E+00  6.82471E-01  2.26169E+00  5.62114E-02  1.61730E-01 -5.13750E-02  1.72407E-01 -9.20875E-03 -2.00406E-02  1.50351E-01 -1.79149E-02  2.70458E-02 -5.82511E-03  1.75380E-01   -2308.39011607464
        -9990  1.69039E+00  1.55225E+00  7.33495E-01  2.31420E+00  5.87452E-02  1.50816E-01 -3.14336E-03  1.69235E-01  2.00106E-02 -4.21933E-02  1.56037E-01 -3.61246E-02 -1.38430E-02  3.25125E-02  1.81905E-01   -2306.18132146050
        -9989  1.60591E+00  1.57486E+00  7.67282E-01  2.31475E+00  5.81873E-02  1.23683E-01  1.63099E-02  1.85593E-01  1.37439E-02 -2.72181E-02  1.58983E-01 -4.12091E-02  1.63630E-02 -8.28644E-03  1.57991E-01   -2288.47233337065
        -9988  1.60191E+00  1.52393E+00  6.70359E-01  2.37040E+00  5.77203E-02  1.57838E-01 -2.20633E-02  1.66741E-01  2.19984E-03 -5.59203E-02  1.18826E-01 -1.53829E-03 -9.45151E-03  5.50374E-03  1.59815E-01   -2281.37261563288
        -9987  1.63303E+00  1.47002E+00  7.00326E-01  2.28691E+00  7.04831E-02  1.85886E-01  1.25013E-03  2.25503E-01 -4.51265E-02 -5.05210E-02  1.76889E-01 -3.82101E-02 -3.61447E-02  2.24579E-02  1.51755E-01   -2238.45533394379
