TABLE NO.     5: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       THETA7       THETA8       THETA9       THETA10      THETA11      SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
       -10000  3.29963E+00  3.25167E+00 -6.12192E-01 -2.07987E-01  7.33357E-01  1.13361E+00  3.35462E-01  1.93151E-01  6.90295E-01  2.29845E+00  1.03062E-01  1.00000E+00  9.83715E-03 -2.11826E-04  7.49951E-03 -2.16620E-04 -1.87980E-03  4.78269E-03 -1.72110E-03 -5.52573E-04 -2.10147E-03  6.60756E-03   -19684.3042545325
        -9999  3.28964E+00  3.22515E+00 -6.09646E-01 -2.01895E-01  7.44960E-01  1.14062E+00  3.32359E-01  1.87974E-01  6.87521E-01  2.29959E+00  1.03062E-01  1.00000E+00  9.29242E-03 -2.85900E-04  6.97350E-03 -7.18060E-06 -9.75134E-04  4.30214E-03 -1.42313E-03 -1.04075E-03 -1.81636E-03  6.19153E-03   -19673.2969674942
        -9998  3.27620E+00  3.29086E+00 -6.06100E-01 -2.18027E-01  7.52854E-01  1.13521E+00  3.31973E-01  1.93930E-01  6.86150E-01  2.30360E+00  1.04973E-01  1.00000E+00  9.75255E-03 -1.08951E-03  7.65693E-03  1.90618E-04 -1.25678E-03  4.40752E-03 -1.77424E-03 -4.78473E-04 -2.19849E-03  6.33519E-03   -19645.5193046060
        -9997  3.26156E+00  3.28419E+00 -5.99908E-01 -2.15804E-01  7.46279E-01  1.13333E+00  3.35214E-01  1.91135E-01  6.87213E-01  2.29589E+00  1.04700E-01  1.00000E+00  8.73684E-03 -1.08577E-03  8.04301E-03  7.70647E-05 -1.34190E-03  4.68658E-03 -7.80500E-04 -5.03092E-05 -2.55143E-03  6.96844E-03   -19668.7758043563
        -9996  3.32475E+00  3.25256E+00 -6.16973E-01 -2.08282E-01  7.83108E-01  1.14841E+00  3.23759E-01  1.89120E-01  6.88324E-01  2.29036E+00  1.04700E-01  1.00000E+00  9.15271E-03 -1.91986E-04  7.32388E-03  5.16149E-04 -1.34398E-03  4.45552E-03 -5.30800E-04 -2.19948E-04 -2.14532E-03  6.50687E-03   -19568.5935174220
        -9995  3.31757E+00  3.26872E+00 -6.16302E-01 -2.11184E-01  7.77358E-01  1.16605E+00  3.24689E-01  1.83952E-01  6.86771E-01  2.29907E+00  1.04700E-01  1.00000E+00  8.24859E-03 -1.26928E-03  7.52573E-03  9.34129E-04 -1.17944E-03  4.90284E-03 -1.49183E-04 -4.39508E-04 -2.04844E-03  6.14509E-03   -19552.7133245017
        -9994  3.32361E+00  3.25044E+00 -6.19658E-01 -2.05862E-01  7.49299E-01  1.15358E+00  3.30905E-01  1.85813E-01  6.83662E-01  2.29427E+00  1.01836E-01  1.00000E+00  1.07665E-02 -1.64314E-03  6.98324E-03  7.01057E-04 -9.99216E-04  4.57846E-03 -4.52891E-04  2.77661E-04 -2.29054E-03  6.97867E-03   -19654.6754828235
        -9993  3.30289E+00  3.22490E+00 -6.11368E-01 -2.01404E-01  7.96867E-01  1.14258E+00  3.13296E-01  1.90154E-01  6.86712E-01  2.30390E+00  1.00723E-01  1.00000E+00  1.10409E-02 -1.92906E-03  7.13620E-03  5.70225E-04 -1.10678E-03  4.30783E-03 -6.39980E-04  9.89865E-04 -2.27811E-03  7.53339E-03   -19731.9827828039
        -9992  3.24533E+00  3.23035E+00 -5.97318E-01 -2.03528E-01  7.25436E-01  1.13266E+00  3.37584E-01  1.92606E-01  6.87697E-01  2.30015E+00  1.00723E-01  1.00000E+00  1.12295E-02 -1.15990E-03  6.03729E-03 -6.46114E-05 -1.05839E-03  4.16995E-03 -1.98672E-05  5.02252E-04 -2.56395E-03  7.01004E-03   -19677.7277657051
        -9991  3.23689E+00  3.25302E+00 -5.91618E-01 -2.09249E-01  6.91771E-01  1.13449E+00  3.45011E-01  1.93070E-01  6.84001E-01  2.29687E+00  1.04678E-01  1.00000E+00  1.01312E-02 -5.58647E-04  6.79186E-03  9.21817E-04 -1.49027E-03  4.40829E-03 -1.20215E-03 -3.55913E-04 -2.15272E-03  6.64387E-03   -19578.4458870982
